,name,position,contacts_full_info,type_of_contact,links
287,Nezahat Baradari,SPD,"{'www.nezahat-baradari.de': 'https://www.nezahat-baradari.de/', 'Facebook': 'https://www.facebook.com/Baradari2017'}","www.nezahat-baradari.de , Facebook","https://www.nezahat-baradari.de/ , https://www.facebook.com/Baradari2017"
288,Thomas Bareiß,CDU/CSU,"{'thomas-bareiss.de': 'http://www.thomas-bareiss.de', 'Twitter': 'https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'Facebook': 'https://www.facebook.com/thomas.bareiss', 'Instagram': 'https://www.instagram.com/thomasbareiss/'}","thomas-bareiss.de , Twitter , Facebook , Instagram","http://www.thomas-bareiss.de , https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor , https://www.facebook.com/thomas.bareiss , https://www.instagram.com/thomasbareiss/"
289,Katarina Barley,SPD,{'Wahlkreis 203: Trier': '?wknr=203#scroll=mod'},Wahlkreis 203: Trier,?wknr=203#scroll=mod
290,Doris Barnett,SPD,{'doris-barnett.de': 'http://www.Doris-Barnett.de'},doris-barnett.de,http://www.Doris-Barnett.de
291,Simone Barrientos,The Left Party,"{'simone-barrientos.de': 'http://simone-barrientos.de/', 'Facebook': 'https://www.facebook.com/simonebarrientosseite/'}","simone-barrientos.de , Facebook","http://simone-barrientos.de/ , https://www.facebook.com/simonebarrientosseite/"
292,Norbert Barthle,CDU/CSU,{'barthle.de': 'http://www.barthle.de'},barthle.de,http://www.barthle.de
293,Matthias Bartke,SPD,{'Wahlkreis 019: Hamburg-Altona': '?wknr=019#scroll=mod'},Wahlkreis 019: Hamburg-Altona,?wknr=019#scroll=mod
294,Sören Bartol,SPD,{'bartol.de': 'http://www.bartol.de/'},bartol.de,http://www.bartol.de/
295,Dr. Dietmar Bartsch,The Left Party,"{'dietmar-bartsch.de': 'http://www.dietmar-bartsch.de/', 'Facebook': 'http://www.facebook.com/DietmarBartschMdB/', 'Twitter': 'http://www.twitter.com/DietmarBartsch'}","dietmar-bartsch.de , Facebook , Twitter","http://www.dietmar-bartsch.de/ , http://www.facebook.com/DietmarBartschMdB/ , http://www.twitter.com/DietmarBartsch"
296,Bärbel Bas,SPD,{'baerbelbas.de': 'http://www.baerbelbas.de/'},baerbelbas.de,http://www.baerbelbas.de/
297,Nicole Bauer,FDP,"{'fdp-nicole-bauer.de': 'http://fdp-nicole-bauer.de/', 'Facebook': 'https://www.facebook.com/bauer.nicole.fdp/', 'Twitter': 'http://www.twitter.com/nicole_ae_bauer', 'Instagram': 'http://www.instagram.com/nicole_ae_bauer'}","fdp-nicole-bauer.de , Facebook , Twitter , Instagram","http://fdp-nicole-bauer.de/ , https://www.facebook.com/bauer.nicole.fdp/ , http://www.twitter.com/nicole_ae_bauer , http://www.instagram.com/nicole_ae_bauer"
298,Bernd Baumann,AfD,"{'bernd-baumann.de': 'https://www.bernd-baumann.de/', 'Twitter': 'https://twitter.com/BerndBaumannAfD', 'Facebook': 'https://www.facebook.com/Dr.Bernd.Baumann/', 'Youtube': 'https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw'}","bernd-baumann.de , Twitter , Facebook , Youtube","https://www.bernd-baumann.de/ , https://twitter.com/BerndBaumannAfD , https://www.facebook.com/Dr.Bernd.Baumann/ , https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw"
299,Margarete Bause,Alliance 90/The Greens,"{'margarete-bause.de': 'http://www.margarete-bause.de', 'Facebook': 'https://www.facebook.com/margarete.bause/', 'Twitter': 'https://www.twitter.com/MargareteBause'}","margarete-bause.de , Facebook , Twitter","http://www.margarete-bause.de , https://www.facebook.com/margarete.bause/ , https://www.twitter.com/MargareteBause"
300,Bela Bach,SPD,"{'Facebook': 'https://www.facebook.com/BelaBachSPD/', 'Twitter': 'https://twitter.com/bela_bach', 'Instagram': 'https://www.instagram.com/bela_bach/'}","Facebook , Twitter , Instagram","https://www.facebook.com/BelaBachSPD/ , https://twitter.com/bela_bach , https://www.instagram.com/bela_bach/"
301,Lisa Badum,Alliance 90/The Greens,"{'lisa-badum.de': 'http://www.lisa-badum.de/', 'Facebook': 'https://www.facebook.com/BadumLisa/', 'Twitter': 'https://twitter.com/badulrichmartha', 'Instagram': 'https://www.instagram.com/badumlisa/?hl=de'}","lisa-badum.de , Facebook , Twitter , Instagram","http://www.lisa-badum.de/ , https://www.facebook.com/BadumLisa/ , https://twitter.com/badulrichmartha , https://www.instagram.com/badumlisa/?hl=de"
302,Heike Baehrens,SPD,{'heike-baehrens.de': 'http://www.heike-baehrens.de'},heike-baehrens.de,http://www.heike-baehrens.de
303,Dorothee Bär,CDU/CSU,{'dorothee-baer.de': 'https://dorothee-baer.de/'},dorothee-baer.de,https://dorothee-baer.de/
304,Annalena Baerbock,Alliance 90/The Greens,{'Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II': '?wknr=061#scroll=mod'},Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,?wknr=061#scroll=mod
305,Ulrike Bahr,SPD,{'Wahlkreis 252: Augsburg-Stadt': '?wknr=252#scroll=mod'},Wahlkreis 252: Augsburg-Stadt,?wknr=252#scroll=mod
306,Nezahat Baradari,SPD,"{'www.nezahat-baradari.de': 'https://www.nezahat-baradari.de/', 'Facebook': 'https://www.facebook.com/Baradari2017'}","www.nezahat-baradari.de , Facebook","https://www.nezahat-baradari.de/ , https://www.facebook.com/Baradari2017"
307,Thomas Bareiß,CDU/CSU,"{'thomas-bareiss.de': 'http://www.thomas-bareiss.de', 'Twitter': 'https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'Facebook': 'https://www.facebook.com/thomas.bareiss', 'Instagram': 'https://www.instagram.com/thomasbareiss/'}","thomas-bareiss.de , Twitter , Facebook , Instagram","http://www.thomas-bareiss.de , https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor , https://www.facebook.com/thomas.bareiss , https://www.instagram.com/thomasbareiss/"
308,Katarina Barley,SPD,{'Wahlkreis 203: Trier': '?wknr=203#scroll=mod'},Wahlkreis 203: Trier,?wknr=203#scroll=mod
309,Doris Barnett,SPD,{'doris-barnett.de': 'http://www.Doris-Barnett.de'},doris-barnett.de,http://www.Doris-Barnett.de
310,Simone Barrientos,The Left Party,"{'simone-barrientos.de': 'http://simone-barrientos.de/', 'Facebook': 'https://www.facebook.com/simonebarrientosseite/'}","simone-barrientos.de , Facebook","http://simone-barrientos.de/ , https://www.facebook.com/simonebarrientosseite/"
311,Norbert Barthle,CDU/CSU,{'barthle.de': 'http://www.barthle.de'},barthle.de,http://www.barthle.de
312,Matthias Bartke,SPD,{'Wahlkreis 019: Hamburg-Altona': '?wknr=019#scroll=mod'},Wahlkreis 019: Hamburg-Altona,?wknr=019#scroll=mod
313,Sören Bartol,SPD,{'bartol.de': 'http://www.bartol.de/'},bartol.de,http://www.bartol.de/
314,Dr. Dietmar Bartsch,The Left Party,"{'dietmar-bartsch.de': 'http://www.dietmar-bartsch.de/', 'Facebook': 'http://www.facebook.com/DietmarBartschMdB/', 'Twitter': 'http://www.twitter.com/DietmarBartsch'}","dietmar-bartsch.de , Facebook , Twitter","http://www.dietmar-bartsch.de/ , http://www.facebook.com/DietmarBartschMdB/ , http://www.twitter.com/DietmarBartsch"
315,Bärbel Bas,SPD,{'baerbelbas.de': 'http://www.baerbelbas.de/'},baerbelbas.de,http://www.baerbelbas.de/
316,Nicole Bauer,FDP,"{'fdp-nicole-bauer.de': 'http://fdp-nicole-bauer.de/', 'Facebook': 'https://www.facebook.com/bauer.nicole.fdp/', 'Twitter': 'http://www.twitter.com/nicole_ae_bauer', 'Instagram': 'http://www.instagram.com/nicole_ae_bauer'}","fdp-nicole-bauer.de , Facebook , Twitter , Instagram","http://fdp-nicole-bauer.de/ , https://www.facebook.com/bauer.nicole.fdp/ , http://www.twitter.com/nicole_ae_bauer , http://www.instagram.com/nicole_ae_bauer"
317,Bernd Baumann,AfD,"{'bernd-baumann.de': 'https://www.bernd-baumann.de/', 'Twitter': 'https://twitter.com/BerndBaumannAfD', 'Facebook': 'https://www.facebook.com/Dr.Bernd.Baumann/', 'Youtube': 'https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw'}","bernd-baumann.de , Twitter , Facebook , Youtube","https://www.bernd-baumann.de/ , https://twitter.com/BerndBaumannAfD , https://www.facebook.com/Dr.Bernd.Baumann/ , https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw"
318,Margarete Bause,Alliance 90/The Greens,"{'margarete-bause.de': 'http://www.margarete-bause.de', 'Facebook': 'https://www.facebook.com/margarete.bause/', 'Twitter': 'https://www.twitter.com/MargareteBause'}","margarete-bause.de , Facebook , Twitter","http://www.margarete-bause.de , https://www.facebook.com/margarete.bause/ , https://www.twitter.com/MargareteBause"
319,Dr. Danyal Bayaz,Alliance 90/The Greens,{'Wahlkreis 278: Bruchsal – Schwetzingen': '?wknr=278#scroll=mod'},Wahlkreis 278: Bruchsal – Schwetzingen,?wknr=278#scroll=mod
320,Lisa Badum,Alliance 90/The Greens,"{'lisa-badum.de': 'http://www.lisa-badum.de/', 'Facebook': 'https://www.facebook.com/BadumLisa/', 'Twitter': 'https://twitter.com/badulrichmartha', 'Instagram': 'https://www.instagram.com/badumlisa/?hl=de'}","lisa-badum.de , Facebook , Twitter , Instagram","http://www.lisa-badum.de/ , https://www.facebook.com/BadumLisa/ , https://twitter.com/badulrichmartha , https://www.instagram.com/badumlisa/?hl=de"
321,Heike Baehrens,SPD,{'heike-baehrens.de': 'http://www.heike-baehrens.de'},heike-baehrens.de,http://www.heike-baehrens.de
322,Dorothee Bär,CDU/CSU,{'dorothee-baer.de': 'https://dorothee-baer.de/'},dorothee-baer.de,https://dorothee-baer.de/
323,Annalena Baerbock,Alliance 90/The Greens,{'Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II': '?wknr=061#scroll=mod'},Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,?wknr=061#scroll=mod
324,Ulrike Bahr,SPD,{'Wahlkreis 252: Augsburg-Stadt': '?wknr=252#scroll=mod'},Wahlkreis 252: Augsburg-Stadt,?wknr=252#scroll=mod
325,Nezahat Baradari,SPD,"{'www.nezahat-baradari.de': 'https://www.nezahat-baradari.de/', 'Facebook': 'https://www.facebook.com/Baradari2017'}","www.nezahat-baradari.de , Facebook","https://www.nezahat-baradari.de/ , https://www.facebook.com/Baradari2017"
326,Thomas Bareiß,CDU/CSU,"{'thomas-bareiss.de': 'http://www.thomas-bareiss.de', 'Twitter': 'https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'Facebook': 'https://www.facebook.com/thomas.bareiss', 'Instagram': 'https://www.instagram.com/thomasbareiss/'}","thomas-bareiss.de , Twitter , Facebook , Instagram","http://www.thomas-bareiss.de , https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor , https://www.facebook.com/thomas.bareiss , https://www.instagram.com/thomasbareiss/"
327,Katarina Barley,SPD,{'Wahlkreis 203: Trier': '?wknr=203#scroll=mod'},Wahlkreis 203: Trier,?wknr=203#scroll=mod
328,Doris Barnett,SPD,{'doris-barnett.de': 'http://www.Doris-Barnett.de'},doris-barnett.de,http://www.Doris-Barnett.de
329,Simone Barrientos,The Left Party,"{'simone-barrientos.de': 'http://simone-barrientos.de/', 'Facebook': 'https://www.facebook.com/simonebarrientosseite/'}","simone-barrientos.de , Facebook","http://simone-barrientos.de/ , https://www.facebook.com/simonebarrientosseite/"
330,Norbert Barthle,CDU/CSU,{'barthle.de': 'http://www.barthle.de'},barthle.de,http://www.barthle.de
331,Matthias Bartke,SPD,{'Wahlkreis 019: Hamburg-Altona': '?wknr=019#scroll=mod'},Wahlkreis 019: Hamburg-Altona,?wknr=019#scroll=mod
332,Sören Bartol,SPD,{'bartol.de': 'http://www.bartol.de/'},bartol.de,http://www.bartol.de/
333,Dr. Dietmar Bartsch,The Left Party,"{'dietmar-bartsch.de': 'http://www.dietmar-bartsch.de/', 'Facebook': 'http://www.facebook.com/DietmarBartschMdB/', 'Twitter': 'http://www.twitter.com/DietmarBartsch'}","dietmar-bartsch.de , Facebook , Twitter","http://www.dietmar-bartsch.de/ , http://www.facebook.com/DietmarBartschMdB/ , http://www.twitter.com/DietmarBartsch"
334,Bärbel Bas,SPD,{'baerbelbas.de': 'http://www.baerbelbas.de/'},baerbelbas.de,http://www.baerbelbas.de/
335,Nicole Bauer,FDP,"{'fdp-nicole-bauer.de': 'http://fdp-nicole-bauer.de/', 'Facebook': 'https://www.facebook.com/bauer.nicole.fdp/', 'Twitter': 'http://www.twitter.com/nicole_ae_bauer', 'Instagram': 'http://www.instagram.com/nicole_ae_bauer'}","fdp-nicole-bauer.de , Facebook , Twitter , Instagram","http://fdp-nicole-bauer.de/ , https://www.facebook.com/bauer.nicole.fdp/ , http://www.twitter.com/nicole_ae_bauer , http://www.instagram.com/nicole_ae_bauer"
336,Bernd Baumann,AfD,"{'bernd-baumann.de': 'https://www.bernd-baumann.de/', 'Twitter': 'https://twitter.com/BerndBaumannAfD', 'Facebook': 'https://www.facebook.com/Dr.Bernd.Baumann/', 'Youtube': 'https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw'}","bernd-baumann.de , Twitter , Facebook , Youtube","https://www.bernd-baumann.de/ , https://twitter.com/BerndBaumannAfD , https://www.facebook.com/Dr.Bernd.Baumann/ , https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw"
337,Margarete Bause,Alliance 90/The Greens,"{'margarete-bause.de': 'http://www.margarete-bause.de', 'Facebook': 'https://www.facebook.com/margarete.bause/', 'Twitter': 'https://www.twitter.com/MargareteBause'}","margarete-bause.de , Facebook , Twitter","http://www.margarete-bause.de , https://www.facebook.com/margarete.bause/ , https://www.twitter.com/MargareteBause"
338,Dr. Danyal Bayaz,Alliance 90/The Greens,{'Wahlkreis 278: Bruchsal – Schwetzingen': '?wknr=278#scroll=mod'},Wahlkreis 278: Bruchsal – Schwetzingen,?wknr=278#scroll=mod
339,Canan Bayram,Alliance 90/The Greens,"{'bayram-gruene.de': 'http://bayram-gruene.de/', 'Facebook': 'https://www.facebook.com/ErststimmeBayram/', 'Twitter': 'https://twitter.com/LieblingXhain', 'Instagram': 'https://www.instagram.com/lieblingxhain/'}","bayram-gruene.de , Facebook , Twitter , Instagram","http://bayram-gruene.de/ , https://www.facebook.com/ErststimmeBayram/ , https://twitter.com/LieblingXhain , https://www.instagram.com/lieblingxhain/"
340,Heike Baehrens,SPD,{'heike-baehrens.de': 'http://www.heike-baehrens.de'},heike-baehrens.de,http://www.heike-baehrens.de
341,Dorothee Bär,CDU/CSU,{'dorothee-baer.de': 'https://dorothee-baer.de/'},dorothee-baer.de,https://dorothee-baer.de/
342,Annalena Baerbock,Alliance 90/The Greens,{'Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II': '?wknr=061#scroll=mod'},Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,?wknr=061#scroll=mod
343,Ulrike Bahr,SPD,{'Wahlkreis 252: Augsburg-Stadt': '?wknr=252#scroll=mod'},Wahlkreis 252: Augsburg-Stadt,?wknr=252#scroll=mod
344,Nezahat Baradari,SPD,"{'www.nezahat-baradari.de': 'https://www.nezahat-baradari.de/', 'Facebook': 'https://www.facebook.com/Baradari2017'}","www.nezahat-baradari.de , Facebook","https://www.nezahat-baradari.de/ , https://www.facebook.com/Baradari2017"
345,Thomas Bareiß,CDU/CSU,"{'thomas-bareiss.de': 'http://www.thomas-bareiss.de', 'Twitter': 'https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'Facebook': 'https://www.facebook.com/thomas.bareiss', 'Instagram': 'https://www.instagram.com/thomasbareiss/'}","thomas-bareiss.de , Twitter , Facebook , Instagram","http://www.thomas-bareiss.de , https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor , https://www.facebook.com/thomas.bareiss , https://www.instagram.com/thomasbareiss/"
346,Katarina Barley,SPD,{'Wahlkreis 203: Trier': '?wknr=203#scroll=mod'},Wahlkreis 203: Trier,?wknr=203#scroll=mod
347,Doris Barnett,SPD,{'doris-barnett.de': 'http://www.Doris-Barnett.de'},doris-barnett.de,http://www.Doris-Barnett.de
348,Simone Barrientos,The Left Party,"{'simone-barrientos.de': 'http://simone-barrientos.de/', 'Facebook': 'https://www.facebook.com/simonebarrientosseite/'}","simone-barrientos.de , Facebook","http://simone-barrientos.de/ , https://www.facebook.com/simonebarrientosseite/"
349,Norbert Barthle,CDU/CSU,{'barthle.de': 'http://www.barthle.de'},barthle.de,http://www.barthle.de
350,Matthias Bartke,SPD,{'Wahlkreis 019: Hamburg-Altona': '?wknr=019#scroll=mod'},Wahlkreis 019: Hamburg-Altona,?wknr=019#scroll=mod
351,Sören Bartol,SPD,{'bartol.de': 'http://www.bartol.de/'},bartol.de,http://www.bartol.de/
352,Dr. Dietmar Bartsch,The Left Party,"{'dietmar-bartsch.de': 'http://www.dietmar-bartsch.de/', 'Facebook': 'http://www.facebook.com/DietmarBartschMdB/', 'Twitter': 'http://www.twitter.com/DietmarBartsch'}","dietmar-bartsch.de , Facebook , Twitter","http://www.dietmar-bartsch.de/ , http://www.facebook.com/DietmarBartschMdB/ , http://www.twitter.com/DietmarBartsch"
353,Bärbel Bas,SPD,{'baerbelbas.de': 'http://www.baerbelbas.de/'},baerbelbas.de,http://www.baerbelbas.de/
354,Nicole Bauer,FDP,"{'fdp-nicole-bauer.de': 'http://fdp-nicole-bauer.de/', 'Facebook': 'https://www.facebook.com/bauer.nicole.fdp/', 'Twitter': 'http://www.twitter.com/nicole_ae_bauer', 'Instagram': 'http://www.instagram.com/nicole_ae_bauer'}","fdp-nicole-bauer.de , Facebook , Twitter , Instagram","http://fdp-nicole-bauer.de/ , https://www.facebook.com/bauer.nicole.fdp/ , http://www.twitter.com/nicole_ae_bauer , http://www.instagram.com/nicole_ae_bauer"
355,Bernd Baumann,AfD,"{'bernd-baumann.de': 'https://www.bernd-baumann.de/', 'Twitter': 'https://twitter.com/BerndBaumannAfD', 'Facebook': 'https://www.facebook.com/Dr.Bernd.Baumann/', 'Youtube': 'https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw'}","bernd-baumann.de , Twitter , Facebook , Youtube","https://www.bernd-baumann.de/ , https://twitter.com/BerndBaumannAfD , https://www.facebook.com/Dr.Bernd.Baumann/ , https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw"
356,Margarete Bause,Alliance 90/The Greens,"{'margarete-bause.de': 'http://www.margarete-bause.de', 'Facebook': 'https://www.facebook.com/margarete.bause/', 'Twitter': 'https://www.twitter.com/MargareteBause'}","margarete-bause.de , Facebook , Twitter","http://www.margarete-bause.de , https://www.facebook.com/margarete.bause/ , https://www.twitter.com/MargareteBause"
357,Dr. Danyal Bayaz,Alliance 90/The Greens,{'Wahlkreis 278: Bruchsal – Schwetzingen': '?wknr=278#scroll=mod'},Wahlkreis 278: Bruchsal – Schwetzingen,?wknr=278#scroll=mod
358,Canan Bayram,Alliance 90/The Greens,"{'bayram-gruene.de': 'http://bayram-gruene.de/', 'Facebook': 'https://www.facebook.com/ErststimmeBayram/', 'Twitter': 'https://twitter.com/LieblingXhain', 'Instagram': 'https://www.instagram.com/lieblingxhain/'}","bayram-gruene.de , Facebook , Twitter , Instagram","http://bayram-gruene.de/ , https://www.facebook.com/ErststimmeBayram/ , https://twitter.com/LieblingXhain , https://www.instagram.com/lieblingxhain/"
359,Jens Beeck,FDP,"{'jensbeeck.de': 'http://www.jensbeeck.de/', 'Facebook': 'https://www.facebook.com/jensbeeck.de/', 'Instagram': 'https://www.instagram.com/jensbeeck/', 'Twitter': 'https://twitter.com/jensbeeck'}","jensbeeck.de , Facebook , Instagram , Twitter","http://www.jensbeeck.de/ , https://www.facebook.com/jensbeeck.de/ , https://www.instagram.com/jensbeeck/ , https://twitter.com/jensbeeck"
360,Dorothee Bär,CDU/CSU,{'dorothee-baer.de': 'https://dorothee-baer.de/'},dorothee-baer.de,https://dorothee-baer.de/
361,Annalena Baerbock,Alliance 90/The Greens,{'Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II': '?wknr=061#scroll=mod'},Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,?wknr=061#scroll=mod
362,Ulrike Bahr,SPD,{'Wahlkreis 252: Augsburg-Stadt': '?wknr=252#scroll=mod'},Wahlkreis 252: Augsburg-Stadt,?wknr=252#scroll=mod
363,Nezahat Baradari,SPD,"{'www.nezahat-baradari.de': 'https://www.nezahat-baradari.de/', 'Facebook': 'https://www.facebook.com/Baradari2017'}","www.nezahat-baradari.de , Facebook","https://www.nezahat-baradari.de/ , https://www.facebook.com/Baradari2017"
364,Thomas Bareiß,CDU/CSU,"{'thomas-bareiss.de': 'http://www.thomas-bareiss.de', 'Twitter': 'https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'Facebook': 'https://www.facebook.com/thomas.bareiss', 'Instagram': 'https://www.instagram.com/thomasbareiss/'}","thomas-bareiss.de , Twitter , Facebook , Instagram","http://www.thomas-bareiss.de , https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor , https://www.facebook.com/thomas.bareiss , https://www.instagram.com/thomasbareiss/"
365,Katarina Barley,SPD,{'Wahlkreis 203: Trier': '?wknr=203#scroll=mod'},Wahlkreis 203: Trier,?wknr=203#scroll=mod
366,Doris Barnett,SPD,{'doris-barnett.de': 'http://www.Doris-Barnett.de'},doris-barnett.de,http://www.Doris-Barnett.de
367,Simone Barrientos,The Left Party,"{'simone-barrientos.de': 'http://simone-barrientos.de/', 'Facebook': 'https://www.facebook.com/simonebarrientosseite/'}","simone-barrientos.de , Facebook","http://simone-barrientos.de/ , https://www.facebook.com/simonebarrientosseite/"
368,Norbert Barthle,CDU/CSU,{'barthle.de': 'http://www.barthle.de'},barthle.de,http://www.barthle.de
369,Matthias Bartke,SPD,{'Wahlkreis 019: Hamburg-Altona': '?wknr=019#scroll=mod'},Wahlkreis 019: Hamburg-Altona,?wknr=019#scroll=mod
370,Sören Bartol,SPD,{'bartol.de': 'http://www.bartol.de/'},bartol.de,http://www.bartol.de/
371,Dr. Dietmar Bartsch,The Left Party,"{'dietmar-bartsch.de': 'http://www.dietmar-bartsch.de/', 'Facebook': 'http://www.facebook.com/DietmarBartschMdB/', 'Twitter': 'http://www.twitter.com/DietmarBartsch'}","dietmar-bartsch.de , Facebook , Twitter","http://www.dietmar-bartsch.de/ , http://www.facebook.com/DietmarBartschMdB/ , http://www.twitter.com/DietmarBartsch"
372,Bärbel Bas,SPD,{'baerbelbas.de': 'http://www.baerbelbas.de/'},baerbelbas.de,http://www.baerbelbas.de/
373,Nicole Bauer,FDP,"{'fdp-nicole-bauer.de': 'http://fdp-nicole-bauer.de/', 'Facebook': 'https://www.facebook.com/bauer.nicole.fdp/', 'Twitter': 'http://www.twitter.com/nicole_ae_bauer', 'Instagram': 'http://www.instagram.com/nicole_ae_bauer'}","fdp-nicole-bauer.de , Facebook , Twitter , Instagram","http://fdp-nicole-bauer.de/ , https://www.facebook.com/bauer.nicole.fdp/ , http://www.twitter.com/nicole_ae_bauer , http://www.instagram.com/nicole_ae_bauer"
374,Bernd Baumann,AfD,"{'bernd-baumann.de': 'https://www.bernd-baumann.de/', 'Twitter': 'https://twitter.com/BerndBaumannAfD', 'Facebook': 'https://www.facebook.com/Dr.Bernd.Baumann/', 'Youtube': 'https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw'}","bernd-baumann.de , Twitter , Facebook , Youtube","https://www.bernd-baumann.de/ , https://twitter.com/BerndBaumannAfD , https://www.facebook.com/Dr.Bernd.Baumann/ , https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw"
375,Margarete Bause,Alliance 90/The Greens,"{'margarete-bause.de': 'http://www.margarete-bause.de', 'Facebook': 'https://www.facebook.com/margarete.bause/', 'Twitter': 'https://www.twitter.com/MargareteBause'}","margarete-bause.de , Facebook , Twitter","http://www.margarete-bause.de , https://www.facebook.com/margarete.bause/ , https://www.twitter.com/MargareteBause"
376,Dr. Danyal Bayaz,Alliance 90/The Greens,{'Wahlkreis 278: Bruchsal – Schwetzingen': '?wknr=278#scroll=mod'},Wahlkreis 278: Bruchsal – Schwetzingen,?wknr=278#scroll=mod
377,Canan Bayram,Alliance 90/The Greens,"{'bayram-gruene.de': 'http://bayram-gruene.de/', 'Facebook': 'https://www.facebook.com/ErststimmeBayram/', 'Twitter': 'https://twitter.com/LieblingXhain', 'Instagram': 'https://www.instagram.com/lieblingxhain/'}","bayram-gruene.de , Facebook , Twitter , Instagram","http://bayram-gruene.de/ , https://www.facebook.com/ErststimmeBayram/ , https://twitter.com/LieblingXhain , https://www.instagram.com/lieblingxhain/"
378,Jens Beeck,FDP,"{'jensbeeck.de': 'http://www.jensbeeck.de/', 'Facebook': 'https://www.facebook.com/jensbeeck.de/', 'Instagram': 'https://www.instagram.com/jensbeeck/', 'Twitter': 'https://twitter.com/jensbeeck'}","jensbeeck.de , Facebook , Instagram , Twitter","http://www.jensbeeck.de/ , https://www.facebook.com/jensbeeck.de/ , https://www.instagram.com/jensbeeck/ , https://twitter.com/jensbeeck"
379,Nicola Beer,FDP,{'Wahlkreis 182: Frankfurt am Main I': '?wknr=182#scroll=mod'},Wahlkreis 182: Frankfurt am Main I,?wknr=182#scroll=mod
