,name,link,city,country,rating,description
0,Atrium Platinum Luxury Resort Hotel & Spa 5*,https://www.tury.ru/hotel/id/101266-atrium-platinum-luxury-resort-hotel-spa-rhodes-greece?mpdf=&mpdt=&mpnf=0&mpnt=0,Родос,Греция,10.0,"Отель Atrium Platinum Resort & Spa (Атриум Платинум Резорт энд Спа) 5* расположен на западном побережье острова Родос, в 200 метрах от прекрасного галечного пляжа Иксия с кристально чистой водой. Недалеко расположен центр Иксии с различными магазинами и ресторанами. Старый город Родос, потрясающий средневековый город, объявленный объектом Всемирного наследия, где когда-то возвышалась величественная статуя Колосса Родосского - одного из семи Чудес Света, находится всего в 3 км от отеля. До аэропорта Диагорас - около 10 км."
1,InterContinental London Park Lane 5*,https://www.tury.ru/hotel/id/33663-intercontinental-london-park-lane-greater-london-great-britain?mpdf=&mpdt=&mpnf=0&mpnt=0,Большой Лондон,Великобритания,10.0,
2,The Westin Palace 5*,https://www.tury.ru/hotel/id/408802-the-westin-palace-madrid-gorod-spain?mpdf=&mpdt=&mpnf=0&mpnt=0,Мадрид (город),Испания,10.0,"The Westin Palace (Зе Вестин Пэлас) 5* расположен около музея Прадо, в окружении исторических памятников и лучших ресторанов города, которые специализируются на традиционных испанских закусках; в 14 км от аэропорта Барахас. «Золотой перечень 2008 года» журнала Conde Nast Traveler оценил Вестин Палас Мадрид как лучший отель Испании. Отель был построен в 1912 году по указу самого короля Альфонса XIII. Величественное здание, увенчанное огромным витражным стеклянным куполом, было центром испанского общества на протяжении почти 100 лет. В обширном списке предоставляемых услуг имеются комнаты для деловых встреч, рестораны, бары, магазины, салон красоты и фитнесс-центр WestinWORKOUT с видом на город."
3,Blue Palace a Luxury Collection Resort & Spa 5*,https://www.tury.ru/hotel/id/55513-blue-palace-a-luxury-collection-resort-spa-elounda-greece?mpdf=&mpdt=&mpnf=0&mpnt=0,Элунда,Греция,9.83,
4,Ayana Resort and SPA 5*,https://www.tury.ru/hotel/id/72489-ayana-resort-and-spa-jimbaran-indonesia?mpdf=&mpdt=&mpnf=0&mpnt=0,Джимбаран,Индонезия,9.77,"Отель Ayana Resort & SPA 5*(Айана Ресорт энд СПА 5*, бывший The Ritz Carlton Bali Resort & Spa - Ритц Карлтон Бали Ресорт энд СПА) расположен на юго-западном побережье острова Бали, в районе бухты Jimbaran, в 10 км (15 минутах езды) от международного аэропорта Ngurah Rai в Денпасаре.На склонах живописных скал, спускающихся к прозрачным водам Индийского океана, расположился фешенебельный комплекс Ayana Resort and Spa Индонезия, занимающий 77 гектаров пышных тропических садов с изящными зданиями в индонезийском стиле, уютными павильонами, сверкающими бассейнами, водопадами и прудами с лотосом. В просторных комфортабельных номерах и виллах — элегантные интерьеры, сочетающие современный дизайн и традиции острова Бали.Ayana Resort and Spa располагает великолепным Центром Bali Thalasso & Spa с уникальным талассо-бассейном Aquatonic и ультрасовременными условиями для всевозможных косметологических, гидротерапевтических и СПА процедур. Также на территории отеля находятся: 4 бассейна с водопадами, 3 теннисных корта, гольф-поле на 18 лунок, центр водного спорта, фитнес-центр. Для маленьких гостей есть детский бассейн с горками, работает клуб The Kids, представляющий различные анимационные программы. 12 ресторанов и баров Ayana Resort and Spa способны удовлетворить самые взыскательные вкусы: от разнообразия интернациональных блюд, деликатесов японской, тайской и итальянской кухонь до экзотических индонезийских яств и свежайших морепродуктов, а также — богатая коллекция вин, мартини и тропических коктейлей. К услугам гостей — 3 конференц-зала, просторный бальный зал, бизнес-центр, бутики. Ayana Resort and Spa Индонезия представляет прекрасное сочетание самого современного комфорта, изысканной экзотики и изумительной природы острова Бали."
5,Ararat Park Hyatt Moscow hotel 5*,https://www.tury.ru/hotel/id/69962-ararat-park-hyatt-moscow-hotel-russia?mpdf=&mpdt=&mpnf=0&mpnt=0,Москва,Россия,10.0,"Отель Арарат Парк Хаятт Москва (Ararat Park Hyatt Moscow) 5* расположен в самом центре Москвы. Аэропорт Шереметьево находится в 35 км. В пешей доступности находятся такие известные достопримечательности, как Большой Театр, Красная площадь, здание Парламента."
6,Boston Harbor Hotel 5*,https://www.tury.ru/hotel/id/99789-boston-harbor-hotel-boston-massachusetts-usa?mpdf=&mpdt=&mpnf=0&mpnt=0,Бостон (Массачусетс),США,10.0,
7,Ellerman House 5*,https://www.tury.ru/hotel/id/64942-ellerman-house-capetown-rsa?mpdf=&mpdt=&mpnf=0&mpnt=0,Кейптаун,ЮАР,10.0,Отель Ellerman House 5* (Эллерман Хаус 5*) один из основных международных эксклюзивных и приватных мест отдыха. Расположен на побережье Атлантического океана и отделен от шумного Кейп Тауна.
8,Gran Hotel Son Net 5*,https://www.tury.ru/hotel/id/62300-gran-hotel-son-net-puigpunyent-spain?mpdf=&mpdt=&mpnf=0&mpnt=0,Пучпуньент,Испания,10.0,"Gran Hotel Son Net 5* – это изысканный отель класса LUXE на Майорке, замечательная усадьба XVII века, изящно отреставрированная и превратившаяся в отель в горах Серра-де-Трамунтана (внесена ЮНЕСКО в Список всемирного наследия человечества). Бутик-отель отображает сущность майоркского классицизма благодаря просторным и очень светлым номерам, потрясающим панорамам и радушному обслуживанию с индивидуальным подходом. Среди гостей отеля были такие знаменитости, как Рафаэль Надаль, Майкл Дуглас, Джек Николсон, Тони Кросс и многие другие.Отель Son Net получил премию «Most Excellent Hotel Europe & Mediterranean» по версии издания Conde Nast Johansens в 2013 году."
9,Grande Bretagne 5*,https://www.tury.ru/hotel/id/25509-grande-bretagne-athens-greece?mpdf=&mpdt=&mpnf=0&mpnt=0,Афины,Греция,10.0,
10,Lindos Blu 5*,https://www.tury.ru/hotel/id/63027-lindos-blu-lindos-greece?mpdf=&mpdt=&mpnf=0&mpnt=0,Линдос,Греция,10.0,"Отель Lindos Blu 5* (Линдос Блу 5*) расположен на возвышенности с прекрасным видом на море.Это новый отель ,открытие- в июле 2008 года."
11,Posada del Angel 4*,https://www.tury.ru/hotel/id/70995-posada-del-angel-antigua-guatemala-guatemala?mpdf=&mpdt=&mpnf=0&mpnt=0,Антигуа-Гватемала,Гватемала,10.0,
12,Rosewood Tuckers Point 4*,https://www.tury.ru/hotel/id/73866-rosewood-tuckers-point-hamilton-parish-bermuda?mpdf=&mpdt=&mpnf=0&mpnt=0,Гамильтон округ,Бермуды,10.0,
13,Shamwari Game Reserve (Long Lee Manor) 5*,https://www.tury.ru/hotel/id/46479-shamwari-game-reserve-long-lee-manor-shamwari-game-reserve-rsa?mpdf=&mpdt=&mpnf=0&mpnt=0,Заповедник Шамвари,ЮАР,10.0,"Добро пожаловать в Shamwari Game Reserve 5* - частный охотничий заказник, расположенный на востоке ЮАР. Заказник получил многочисленные международные награды, включая World's Leading Conservation Company в течение последних пяти лет. Shamwari Game Reserve - настоящая роскошь, окруженная африканской дикой природой. На территории заповедника расположено 6 лоджей: Long Lee Manor, Lobengula Lodge, Riverdene Lodge, Bushmans River Lodge, Eagles Cragg и Bayethe. Именно здесь в начале XIX века в жаргоне охотников появился термин 'большая пятерка'. К ней относили самых крупных и опасных животных: слона, буйвола, носорога, льва и леопарда. Появление европейцев, обладающих огнестрельным оружием, привело к тому, что почти все они исчезли из этих мест. Но теперь, благодаря усилиям администрации парка, саванны и речные долины Shamwari вновь стали домом для них, а также для многих других животных – гепардов, зебр, бегемотов и многочисленных антилоп (их здесь целых 18 видов!). Здесь они могут чувствовать себя в безопасности: для охраны парка от браконьеров принимаются все меры, включая патрулирование с воздуха. Отель расположен между Порт Элизабет и Grahamstown вдоль реки Bushmans на 20 000 гектарах земли. 50 мин на машине до аэропорта Порт Элизабет. Расположен в зоне - свободной от малярии.Long Lee Manor - особняк в викторианском стиле - был построен в 1910 г. потомками Уильяма Фудса одного из первых английских поселенцев, позднее был восстановлен и расширен. Расположенный среди африканского буша Long Lee Manor дает возможность почувствовать и испытать стиль жизни прошлого столетия, соседствующий с безупречным комфортом и сервисом нынешнего."
14,Swissotel Krasnye Holmy hotel 5*,https://www.tury.ru/hotel/id/68904-swissotel-krasnye-holmy-hotel-moscow-russia?mpdf=&mpdt=&mpnf=0&mpnt=0,Москва,Россия,10.0,
15,The Broadmoor 5*,https://www.tury.ru/hotel/id/90399-the-broadmoor-colorado-usa?mpdf=&mpdt=&mpnf=0&mpnt=0,Колорадо,США,10.0,"The Broadmoor (Броудмур) входит в число лучших отелей мира и до сих пор занимает ведущие позиции в сфере гостиничного бизнеса. Владельцы отеля с самого момента основния стремились создать здесь настоящий архитектурный шедевр, над интерьерами работали лучшие архитекторы и дизайнеры. Особое внимание уделялось созданию непринужденной, домашней атмосферы и организации безупречного обслуживания клиентов. Из Италии был приглашен лучший повар, а один из лучших архитекторов Америки создал роскошное поле для гольфа. Высокий стандарт обслуживания, заданный со времени открытия отеля сохраняется здесь до сих пор. Вот почему каждый, кто побывал здесь хоть раз, стремится вернуться в это живописное место, в роскошные покои этого дивного дворца."
16,The Chatwal Hotel 5*,https://www.tury.ru/hotel/id/100959-the-chatwal-hotel-new-york-city-usa?mpdf=&mpdt=&mpnf=0&mpnt=0,Нью-Йорк,США,10.0,"The Chatwal Hotel (Чатуолни Хотел) находится в историческом здании, построенном в Нью-Йорке в 1905 году архитектором Стэнфордом Уайтом. В былые времена здесь располагался первый профессиональный театральный клуб Америки. А отель Chatwal открыл свои двери для гостей в 2010 году.За дизайн отеля отвечал Тьерри Деспонт. Его идея заключалась в том, чтобы соединить современную роскошь со стилем ар-деко. Подлинные элементы здания - фасад и камины от пола до потолка были восстановлены и включены в интерьеры отеля."
17,The Palace of the Lost City 5*,https://www.tury.ru/hotel/id/46848-the-palace-of-the-lost-city-sun-city-rsa?mpdf=&mpdt=&mpnf=0&mpnt=0,Сан Сити,ЮАР,10.0,"Отель The Palace of the Lost City 5* (Зэ Пэлэс оф зе Лост Сити 5*) - самый лучший отель в городе. Сан Сити (Sun City) - это огромный искусственный курорт, являющийся своеобразной реконструкцией Затерянного Города. На территории комплекса расположено огромное количество аттракций, начиная с римского амфитеатра и озера с огромным числом водных видов спорта и полностью оборудованным пляжем и бассейном, и заканчивая казино, прославившим курорт на весь мир. Как и предполагает название, отель своим видом напоминает дворец древней цивилизации и окружен водой."
18,The Peninsula Tokyo 5*,https://www.tury.ru/hotel/id/75302-the-peninsula-tokyo-japan?mpdf=&mpdt=&mpnf=0&mpnt=0,Токио,Япония,10.0,
19,The Pierre 5*,https://www.tury.ru/hotel/id/78172-the-pierre-new-york-city-usa?mpdf=&mpdt=&mpnf=0&mpnt=0,Нью-Йорк,США,10.0,"The Pierre (Пьер) открылся после очередного ремонта (стоимостью около 100 миллионов долларов) 1 июня 2009 года. Даже в городе, где шикарные отели являются нормой, есть одна гостиница, которая гораздо шикарнее, чем остальные. The Pierre обладает отличнейшим местоположением и легендарной историей и продолжает задавать стандарты элегантности и непревзойденного гостеприимства.В отеле есть зал для бракосочетания."
20,The Plettenberg Hotel 5*,https://www.tury.ru/hotel/id/46478-the-plettenberg-hotel-plettenberg-bay-rsa?mpdf=&mpdt=&mpnf=0&mpnt=0,Плеттенберг Бей,ЮАР,10.0,"Отель The Plettenberg Hotel 5* (Зэ Плеттенберг Отель 5*) расположен в 2,5 часах езды от аэропорта Порт-Элизабета, в 20 км от национального парка Тсисикамма. Непосредственно с террасы отеля или собственного номера с июля по октябрь можно наблюдать за подплывающими к берегу дельфинами и китами."
21,The St. Regis Mexico City 5*,https://www.tury.ru/hotel/id/104335-the-st-regis-mexico-city-mexico?mpdf=&mpdt=&mpnf=0&mpnt=0,Мехико (столица),Мексика,10.0,
22,The St. Regis Princeville Resort 5*,https://www.tury.ru/hotel/id/667413-the-st-regis-princeville-resort-hawaii-islands?mpdf=&mpdt=&mpnf=0&mpnt=0,Принсвилл,Гавайи,10.0,"The St. Regis Princeville Resort 5* находится на северном побережье острова Кауаи, между пляжами Хайдевей и Пуу Поа. Ближайший аэропорт расположен в 5 км от него. Отель предлагает множество возможностей для активного отдыха, экскурсионные программы, прямой доступ к пляжу, отличное СПА и многое другое. В 2012 году он вошел в рейтинг ""Топ 25 Люксовых отелей США"" по версии TripAdvisor."
23,The St. Regis Rome 5*,https://www.tury.ru/hotel/id/58327-the-st-regis-rome-italy?mpdf=&mpdt=&mpnf=0&mpnt=0,Рим,Италия,10.0,"The St. Regis Rome 5* расположен в самом сердце Рима, в 29 км от аэропорта Чампино; на расстоянии пешей прогулки от известных во всем мире достопримечательностей, таких как площадь Испании, фонтан Треви и Via Veneto. Неподалёку находится Колизей, Римский Форум, площадь Навона и галерея магазинов на улице Via Condotti.Отель является воплощением престижа и роскоши. Его последняя реконструкция, стоившая 35 миллионов долларов, позволила ему попасть в Золотой список лучших отелей журнала Conde Nast Traveler.Каждый из 138 номеров и 23 люксов, оформленных в смешении стилей Людовика XV, французского и английского ампира, неповторим и индивидуален. Роскошные ванные комнаты и комфортабельные кровати гарантируют вам королевский отдых."
24,Nirvana Lagoon Villas Suites & SPA 5*,https://www.tury.ru/hotel/id/759657-nirvana-lagoon-villas-suites-spa-beldibi-turkey?mpdf=&mpdt=&mpnf=0&mpnt=0,Бельдиби,Турция,10.0,"Nirvana Lagoon Villas Suites & SPA 5* - новый роскошный отель в курортном поселке Бельдиби. Он располагается в 36 км от аэропорта Антальи на побережье Средиземного моря. Территория отеля - более 15 гектаров, а длина пляжа - 900 метров. Слоган отеля ""Привилегированная жизнь"" находит свое отражение в каждой детали комплекса. Nirvana выгодно отличается как от соседних отелей, так и от прошлых отелей сети Crystal. Все здания здесь элегантно вписаны в природный ландшафт. Хвойные деревья, пальмы и цветы окружают гостей повсюду, создавая приятную прохладу и непередаваемую натуральную атмосферу. Гармоничным дополнением к этому служат Таврские горы, живописный вид на которые открывается почти из любой точки отеля. Большая часть номерного фонда - виллы, стоящие небольшими группами. Каждый такой блок имеет собственный бассейн с баром. Небольшое количество более скромных номеров располагается в главном корпусе. Самый же роскошный вариант, Villa Nirvana, находится вблизи пляжа и располагает собственным пирсом."
25,Regnum Carya Golf & Spa Resort 5*,https://www.tury.ru/hotel/id/759660-regnum-carya-golf-amp-spa-resort-belek-turkey?mpdf=&mpdt=&mpnf=0&mpnt=0,Белек,Турция,10.0,"Regnum Carya Golf And Spa Resort 5* - новый роскошный отель в пригороде Белека, поселке Кадрие. Он находится в 35 км от аэропорта Антальи и всего в километре от города. Отель располагает всеми стандартными удобствами, свойственными 5-звездочным отелям Турции, но не останавливается на этом. Местное поле для гольфа стало первым и пока единственным на континенте полем с освещением. Играть в гольф здесь можно и днем и ночью! Кроме того, с апреля 2014 года начинает свою работу футбольная академия одного из крупнейших футбольных клубов в мире, Chelsea FC."
26,Baltschug Kempinski hotel 5*,https://www.tury.ru/hotel/id/68886-baltschug-kempinski-hotel-moscow-russia?mpdf=&mpdt=&mpnf=0&mpnt=0,Москва,Россия,10.0,"Отель Балчуг Кемпински (Baltschug Kempinski) 5* расположен в центре Москвы, на берегу Москвы-реки, недалеко от Кремля, Красной площади и собора Василия Блаженного."
27,Djibouti Palace Kempinski 5*,https://www.tury.ru/hotel/id/70697-djibouti-palace-kempinski-djibouti-excursion-djibouti?mpdf=&mpdt=&mpnf=0&mpnt=0,Джибути (экскурс.),Джибути,10.0,
28,Gran Bahia Principe Akumal 5*,https://www.tury.ru/hotel/id/73034-gran-bahia-principe-akumal-cancun-mexico?mpdf=&mpdt=&mpnf=0&mpnt=0,Канкун,Мексика,10.0,"Отель Gran Bahia Principe Akumal 5* (Гран Бая Принципе Акумал 5*) принадлежит комплексу Hacienda Dona Isabel и считается одним из лучших отелей на Карибском побережье. Благодаря своей инфраструктуре и отличному расположению отель по праву соответствует свое уровню.Здесь архитектура и природа живут в унисон, дополняя друг другу на радость туристов. От аэропорта Канкуна до отеля час езды, 30 минут до пляжа Кармен и 20 минут до Тулума. Отель предлагает специальные программы для молодоженов."
29,Grecotel Myconos Blu 5*,https://www.tury.ru/hotel/id/25342-grecotel-myconos-blu-mykonos-greece?mpdf=&mpdt=&mpnf=0&mpnt=0,Миконос,Греция,10.0,"Отель Grecotel Myconos Blu Grecotel 5* (Миконос Блу Грекотель 5*) находится на прекрасном песчаном пляже Псару в 3,5 км от города Миконос. Все вокруг удивительно яркое: лазурное небо, ярко бирюзовое море, удивительно спокойное в этой бухте, белоснежные яхты на горизонте, перламутровый белый песок и коричневые горы вокруг. Из окон его номеров открывается великолепный панорамный вид на пляж залива Псару. Роскошный курортный отель внешне украшен в эгейском архитектурном стиле, внутри имеет современную отделку. Отель расположен в 15 минутах от аэропорта Миконоса. Каждый уголок этого удивительного отеля Myconos Blu Grecotel 5* необычен, неповторим, красив и стилен, что характерно и для Миконоса в целом. Если Вы собираетесь в романтическое путешествие или просто хотите внести немного романтики в свою жизнь – лучшего места для отдыха Вам не найти."
30,JW Marriott Essex House New York 5*,https://www.tury.ru/hotel/id/64737-jw-marriott-essex-house-new-york-new-york-state-usa?mpdf=&mpdt=&mpnf=0&mpnt=0,Нью-Йорк штат,США,10.0,"JW Marriott Essex House New York - настоящий памятник архитектуры Нью-Йорка. Не так давно здесь была произведена полная реставрация стоимостью 90 миллионов долларов.В номерах вас ждет обстановка в стиле Арт Деко, высокоскоростной беспроводной Интернет, кабельное телевидение и красивейший вид на Центральный парк и Манхэттен."
31,One and Only Le Saint Geran,https://www.tury.ru/hotel/id/69691-one-and-only-le-saint-geran-belle-mare-mauritius?mpdf=&mpdt=&mpnf=0&mpnt=0,Бель Мар,Маврикий,10.0,
32,Sandals Grande Antigua Resort & Spa 5*,https://www.tury.ru/hotel/id/54356-sandals-grande-antigua-resort-spa-antigua-and-barbuda?mpdf=&mpdt=&mpnf=0&mpnt=0,о.Антигуа,Антигуа и Барбуда,10.0,"Отель Sandals Grande Antigua Resort&Spa расположен на северо-западном побережья острова. Откройте для себя лучшее, что есть на свете по обе стороны Атлантики, в райском уголке, получившем название ""Самого романтического в мире"" пляжа острова Антигуа - Dickenson Bay. Здесь Вы найдёте экзотический мир с пышными тропическими садами Карибской Деревни, с коттеджами Rondovals в ирландском стиле ( необычная округлая форма, конические крыши диаметром 6 м), с салоном Red Lane Spa, предлагающим эксклюзивные спа-услуги. Здесь же находится пятизвёздочная Средиземноморская Деревня - воплощение роскоши и утончённости - исключительно с номерами класса люкс. Шикарные номера Villa Suites, имеющие индивидуальные бассейны, соседствуют с морем и самым большим на острове бассейном с пологим спуском в воду. Вне зависимости от того, какую обстановку Вы предпочтёте, этот отель мирового класса предложит Вам всё, что создано для роскоши и романтики."
